date_time,open_price,high_price,low_price,close_price,quantity
2023/08/16 23:26, 16407.00, 16407.00, 16405.00, 16405.00, 54
2023/08/16 23:27, 16405.00, 16405.00, 16401.00, 16402.00, 156
2023/08/16 23:28, 16402.00, 16403.00, 16398.00, 16401.00, 393
2023/08/16 23:29, 16400.00, 16403.00, 16399.00, 16401.00, 106
2023/08/16 23:30, 16401.00, 16403.00, 16399.00, 16403.00, 114
2023/08/16 23:31, 16402.00, 16403.00, 16399.00, 16401.00, 86
2023/08/16 23:32, 16400.00, 16400.00, 16393.00, 16395.00, 432
2023/08/16 23:33, 16395.00, 16398.00, 16394.00, 16394.00, 136
2023/08/16 23:34, 16394.00, 16397.00, 16393.00, 16395.00, 176
2023/08/16 23:35, 16396.00, 16398.00, 16395.00, 16396.00, 67
2023/08/16 23:36, 16396.00, 16400.00, 16395.00, 16399.00, 113
2023/08/16 23:37, 16398.00, 16402.00, 16396.00, 16399.00, 100
2023/08/16 23:38, 16399.00, 16399.00, 16397.00, 16397.00, 53
2023/08/16 23:39, 16396.00, 16398.00, 16393.00, 16394.00, 114
2023/08/16 23:40, 16394.00, 16396.00, 16391.00, 16391.00, 179
2023/08/16 23:41, 16391.00, 16397.00, 16391.00, 16395.00, 186
2023/08/16 23:42, 16395.00, 16397.00, 16395.00, 16396.00, 42
2023/08/16 23:43, 16395.00, 16396.00, 16392.00, 16393.00, 81
2023/08/16 23:44, 16394.00, 16394.00, 16391.00, 16391.00, 107
2023/08/16 23:45, 16391.00, 16392.00, 16388.00, 16389.00, 318
2023/08/16 23:46, 16389.00, 16393.00, 16388.00, 16392.00, 190
2023/08/16 23:47, 16392.00, 16394.00, 16392.00, 16394.00, 66
2023/08/16 23:48, 16393.00, 16393.00, 16385.00, 16385.00, 388
2023/08/16 23:49, 16385.00, 16386.00, 16381.00, 16384.00, 400
2023/08/16 23:50, 16384.00, 16388.00, 16384.00, 16386.00, 151
2023/08/16 23:51, 16386.00, 16387.00, 16381.00, 16386.00, 219
2023/08/16 23:52, 16386.00, 16386.00, 16384.00, 16385.00, 101
2023/08/16 23:53, 16386.00, 16387.00, 16383.00, 16384.00, 141
2023/08/16 23:54, 16383.00, 16386.00, 16383.00, 16385.00, 63
2023/08/16 23:55, 16384.00, 16387.00, 16384.00, 16386.00, 52
2023/08/16 23:56, 16386.00, 16387.00, 16384.00, 16384.00, 130
2023/08/16 23:57, 16386.00, 16386.00, 16380.00, 16380.00, 215
2023/08/16 23:58, 16380.00, 16384.00, 16378.00, 16383.00, 410
2023/08/16 23:59, 16382.00, 16383.00, 16366.00, 16367.00, 1620
2023/08/17 00:00, 16367.00, 16370.00, 16363.00, 16369.00, 802
2023/08/17 00:01, 16369.00, 16371.00, 16365.00, 16368.00, 533
2023/08/17 00:02, 16368.00, 16371.00, 16366.00, 16371.00, 191
2023/08/17 00:03, 16371.00, 16373.00, 16370.00, 16373.00, 184
2023/08/17 00:04, 16373.00, 16375.00, 16372.00, 16372.00, 265
2023/08/17 00:05, 16372.00, 16373.00, 16358.00, 16359.00, 729
2023/08/17 00:06, 16360.00, 16366.00, 16358.00, 16365.00, 379
2023/08/17 00:07, 16364.00, 16364.00, 16361.00, 16361.00, 174
2023/08/17 00:08, 16361.00, 16363.00, 16359.00, 16361.00, 194
2023/08/17 00:09, 16360.00, 16362.00, 16356.00, 16357.00, 281
2023/08/17 00:10, 16357.00, 16360.00, 16354.00, 16359.00, 324
2023/08/17 00:11, 16358.00, 16359.00, 16350.00, 16350.00, 534
2023/08/17 00:12, 16350.00, 16351.00, 16348.00, 16349.00, 447
2023/08/17 00:13, 16348.00, 16352.00, 16346.00, 16350.00, 384
2023/08/17 00:14, 16350.00, 16356.00, 16348.00, 16356.00, 235
2023/08/17 00:15, 16356.00, 16357.00, 16351.00, 16353.00, 162
2023/08/17 00:16, 16351.00, 16353.00, 16348.00, 16350.00, 219
2023/08/17 00:17, 16350.00, 16355.00, 16349.00, 16355.00, 116
2023/08/17 00:18, 16354.00, 16356.00, 16350.00, 16350.00, 175
2023/08/17 00:19, 16350.00, 16350.00, 16345.00, 16348.00, 328
2023/08/17 00:20, 16348.00, 16350.00, 16346.00, 16349.00, 109
2023/08/17 00:21, 16349.00, 16350.00, 16346.00, 16346.00, 220
2023/08/17 00:22, 16346.00, 16346.00, 16341.00, 16345.00, 407
2023/08/17 00:23, 16347.00, 16349.00, 16346.00, 16347.00, 155
2023/08/17 00:24, 16348.00, 16351.00, 16347.00, 16350.00, 129
2023/08/17 00:25, 16349.00, 16351.00, 16348.00, 16351.00, 89
2023/08/17 00:26, 16351.00, 16351.00, 16343.00, 16343.00, 200
2023/08/17 00:27, 16343.00, 16345.00, 16342.00, 16345.00, 189
2023/08/17 00:28, 16345.00, 16345.00, 16335.00, 16339.00, 807
2023/08/17 00:29, 16339.00, 16343.00, 16339.00, 16342.00, 151
2023/08/17 00:30, 16342.00, 16346.00, 16342.00, 16345.00, 114
2023/08/17 00:31, 16345.00, 16349.00, 16342.00, 16347.00, 251
2023/08/17 00:32, 16347.00, 16352.00, 16345.00, 16351.00, 232
2023/08/17 00:33, 16351.00, 16353.00, 16348.00, 16351.00, 234
2023/08/17 00:34, 16351.00, 16353.00, 16349.00, 16353.00, 89
2023/08/17 00:35, 16354.00, 16355.00, 16352.00, 16355.00, 204
2023/08/17 00:36, 16355.00, 16356.00, 16353.00, 16354.00, 124
2023/08/17 00:37, 16354.00, 16357.00, 16353.00, 16357.00, 114
2023/08/17 00:38, 16357.00, 16362.00, 16356.00, 16362.00, 285
2023/08/17 00:39, 16361.00, 16362.00, 16355.00, 16357.00, 272
2023/08/17 00:40, 16357.00, 16358.00, 16355.00, 16356.00, 78
2023/08/17 00:41, 16356.00, 16356.00, 16354.00, 16355.00, 129
2023/08/17 00:42, 16354.00, 16356.00, 16353.00, 16355.00, 59
2023/08/17 00:43, 16355.00, 16357.00, 16355.00, 16356.00, 58
2023/08/17 00:44, 16358.00, 16360.00, 16356.00, 16360.00, 92
2023/08/17 00:45, 16360.00, 16360.00, 16354.00, 16355.00, 112
2023/08/17 00:46, 16354.00, 16356.00, 16351.00, 16354.00, 152
2023/08/17 00:47, 16353.00, 16355.00, 16352.00, 16353.00, 57
2023/08/17 00:48, 16352.00, 16352.00, 16348.00, 16349.00, 125
2023/08/17 00:49, 16349.00, 16350.00, 16347.00, 16349.00, 107
2023/08/17 00:50, 16349.00, 16352.00, 16348.00, 16349.00, 55
2023/08/17 00:51, 16350.00, 16352.00, 16349.00, 16350.00, 55
2023/08/17 00:52, 16350.00, 16352.00, 16348.00, 16351.00, 77
2023/08/17 00:53, 16350.00, 16352.00, 16350.00, 16351.00, 29
2023/08/17 00:54, 16351.00, 16352.00, 16350.00, 16350.00, 44
2023/08/17 00:55, 16350.00, 16351.00, 16349.00, 16349.00, 38
2023/08/17 00:56, 16349.00, 16352.00, 16348.00, 16350.00, 53
2023/08/17 00:57, 16350.00, 16350.00, 16346.00, 16346.00, 67
2023/08/17 00:58, 16346.00, 16346.00, 16341.00, 16344.00, 204
2023/08/17 00:59, 16344.00, 16345.00, 16343.00, 16343.00, 63
2023/08/17 01:00, 16343.00, 16343.00, 16340.00, 16340.00, 109
2023/08/17 01:01, 16340.00, 16344.00, 16338.00, 16340.00, 323
2023/08/17 01:02, 16341.00, 16341.00, 16337.00, 16338.00, 195
2023/08/17 01:03, 16340.00, 16342.00, 16338.00, 16342.00, 100
2023/08/17 01:04, 16342.00, 16345.00, 16342.00, 16344.00, 105
